Size, Seq, Par, Libc
60000, 0.008946, 0.033317, 0.008547
70000, 0.010565, 0.029474, 0.010083
80000, 0.012017, 0.024660, 0.011729
90000, 0.013855, 0.033091, 0.013260
100000, 0.015493, 0.029716, 0.014931
0, 0.000000, 0.000183, 0.000000
10000, 0.001228, 0.023559, 0.001169
20000, 0.002683, 0.028664, 0.002528
30000, 0.004199, 0.026384, 0.003936
40000, 0.005937, 0.037288, 0.005396
50000, 0.007341, 0.033566, 0.007005
60000, 0.028151, 0.035306, 0.008842
70000, 0.010944, 0.035308, 0.010311
80000, 0.012107, 0.025582, 0.011621
90000, 0.014261, 0.033781, 0.013249
100000, 0.040758, 0.029369, 0.014575
0, 0.000000, 0.000187, 0.000000
10000, 0.001260, 0.020548, 0.001185
20000, 0.002639, 0.024777, 0.002524
30000, 0.004190, 0.033092, 0.003947
40000, 0.005878, 0.033778, 0.005452
50000, 0.007689, 0.026084, 0.006879
60000, 0.009078, 0.033611, 0.008604
70000, 0.010388, 0.032207, 0.009947
80000, 0.023469, 0.024879, 0.011451
90000, 0.034110, 0.041880, 0.013261
100000, 0.015532, 0.030791, 0.014740
0, 0.000000, 0.000161, 0.000001
10000, 0.001264, 0.019857, 0.001177
20000, 0.002654, 0.027433, 0.002530
30000, 0.004282, 0.021252, 0.003933
40000, 0.005730, 0.025169, 0.005536
50000, 0.007088, 0.035642, 0.007033
60000, 0.009152, 0.032829, 0.008619
70000, 0.033415, 0.037213, 0.010036
80000, 0.012209, 0.033442, 0.011686
90000, 0.013925, 0.029423, 0.013501
100000, 0.015567, 0.030942, 0.014736
0, 0.000001, 0.000178, 0.000000
10000, 0.001241, 0.030322, 0.001200
20000, 0.002687, 0.033134, 0.002520
30000, 0.004482, 0.020557, 0.003945
40000, 0.005909, 0.022179, 0.005684
50000, 0.007612, 0.030086, 0.006854
60000, 0.009100, 0.035213, 0.008693
70000, 0.010838, 0.030206, 0.009949
80000, 0.012224, 0.033123, 0.011600
90000, 0.028425, 0.028980, 0.013176
100000, 0.015529, 0.033119, 0.014900
0, 0.000000, 0.000199, 0.000001
10000, 0.001362, 0.028586, 0.001173
20000, 0.002681, 0.022698, 0.002529
30000, 0.004304, 0.021283, 0.003942
40000, 0.006009, 0.030500, 0.005555
50000, 0.007509, 0.024556, 0.006999
60000, 0.028406, 0.030858, 0.008413
70000, 0.010689, 0.024015, 0.009980
80000, 0.038274, 0.029371, 0.011682
90000, 0.013695, 0.032219, 0.013172
100000, 0.016064, 0.036141, 0.014964
0, 0.000001, 0.000192, 0.000001
10000, 0.001359, 0.029088, 0.001180
20000, 0.002689, 0.025244, 0.002526
30000, 0.004199, 0.024466, 0.003945
40000, 0.005848, 0.032766, 0.005436
50000, 0.007575, 0.022956, 0.006876
60000, 0.008873, 0.028468, 0.008609
70000, 0.010577, 0.032201, 0.010049
80000, 0.012120, 0.032973, 0.011509
90000, 0.013640, 0.027735, 0.013097
100000, 0.015684, 0.030772, 0.014738
0, 0.000000, 0.000180, 0.000001
10000, 0.001263, 0.018634, 0.001176
20000, 0.002628, 0.027808, 0.002530
30000, 0.004230, 0.024740, 0.003933
40000, 0.005780, 0.024140, 0.005656
50000, 0.007229, 0.028978, 0.006885
60000, 0.009076, 0.032423, 0.008395
